source	section	disposition	target_or_reason
ROCDOWN_DOCUMENTATION_GENERATOR_IMPLEMENTATION_PLAN.md	6. Core contracts > 6.4 Catalog states	migrated	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_DOCUMENTATION_GENERATOR_IMPLEMENTATION_PLAN.md	6. Core contracts > 6.5 Theme contract	migrated	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_DOCUMENTATION_GENERATOR_IMPLEMENTATION_PLAN.md	7. Rust / Rocci / Roc budget > Rust	migrated	knowledge/decisions/rust-catalog-rocci-shell.md
ROCDOWN_DOCUMENTATION_GENERATOR_IMPLEMENTATION_PLAN.md	7. Rust / Rocci / Roc budget > Rocci	migrated	knowledge/decisions/rust-catalog-rocci-shell.md
ROCDOWN_DOCUMENTATION_GENERATOR_IMPLEMENTATION_PLAN.md	7. Rust / Rocci / Roc budget > Roc	migrated	knowledge/decisions/rust-catalog-rocci-shell.md
ROCDOWN_DOCUMENTATION_GENERATOR_IMPLEMENTATION_PLAN.md	9. Phased implementation > Phase 0 — done	migrated current status	knowledge/status/implementation.md; knowledge/status/known-limitations.md
ROCDOWN_DOCUMENTATION_GENERATOR_IMPLEMENTATION_PLAN.md	9. Phased implementation > Phase 1 — done (this slice, replacing “DocNode in Roc”)	migrated current status	knowledge/status/implementation.md; knowledge/status/known-limitations.md
ROCDOWN_DOCUMENTATION_GENERATOR_IMPLEMENTATION_PLAN.md	9. Phased implementation > Phase 2 — done	migrated current status	knowledge/status/implementation.md; knowledge/status/known-limitations.md
ROCDOWN_DOCUMENTATION_GENERATOR_IMPLEMENTATION_PLAN.md	9. Phased implementation > Phase 3 — done	migrated current status	knowledge/status/implementation.md; knowledge/status/known-limitations.md
ROCDOWN_DOCUMENTATION_GENERATOR_IMPLEMENTATION_PLAN.md	9. Phased implementation > Phase 4 — clean Markdown, machine outputs, search, dev mode	migrated current status	knowledge/status/implementation.md; knowledge/status/known-limitations.md
ROCDOWN_DOCUMENTATION_GENERATOR_IMPLEMENTATION_PLAN.md	9. Phased implementation > Phase 5 — semantic components, includes, tested examples	migrated current status	knowledge/status/implementation.md; knowledge/status/known-limitations.md
ROCDOWN_DOCUMENTATION_GENERATOR_IMPLEMENTATION_PLAN.md	9. Phased implementation > Phase 6 — generated references and richer themes	migrated current status	knowledge/status/implementation.md; knowledge/status/known-limitations.md
ROCDOWN_DOCUMENTATION_GENERATOR_IMPLEMENTATION_PLAN.md	9. Phased implementation > Phase 7 — scale and advanced interaction	migrated current status	knowledge/status/implementation.md; knowledge/status/known-limitations.md
ROCDOWN_THEMING_REPORT.md	2. What popular Markdown presentation environments do > 2.1 Reveal.js	retained for priority 2	knowledge/research/theme-ecosystems.md
ROCDOWN_THEMING_REPORT.md	2. What popular Markdown presentation environments do > 2.2 Marp and Marpit	retained for priority 2	knowledge/research/theme-ecosystems.md
ROCDOWN_THEMING_REPORT.md	2. What popular Markdown presentation environments do > 2.3 Slidev	retained for priority 2	knowledge/research/theme-ecosystems.md
ROCDOWN_THEMING_REPORT.md	2. What popular Markdown presentation environments do > 2.4 Quarto Reveal	retained for priority 2	knowledge/research/theme-ecosystems.md
ROCDOWN_THEMING_REPORT.md	2. What popular Markdown presentation environments do > 2.5 Remark	retained for priority 2	knowledge/research/theme-ecosystems.md
ROCDOWN_THEMING_REPORT.md	2. What popular Markdown presentation environments do > 2.6 Presentation comparison	retained for priority 2	knowledge/research/theme-ecosystems.md
ROCDOWN_THEMING_REPORT.md	3. What static-site generators do > 3.1 Hugo: modules, mounts, and ordered overlays	retained for priority 2	knowledge/research/theme-ecosystems.md
ROCDOWN_THEMING_REPORT.md	3. What static-site generators do > 3.2 Jekyll: packaged themes with local shadowing	retained for priority 2	knowledge/research/theme-ecosystems.md
ROCDOWN_THEMING_REPORT.md	3. What static-site generators do > 3.3 MkDocs: Python packages, template inheritance, and extra assets	retained for priority 2	knowledge/research/theme-ecosystems.md
ROCDOWN_THEMING_REPORT.md	3. What static-site generators do > 3.4 Astro and Eleventy-style starters: project templates rather than live themes	retained for priority 2	knowledge/research/theme-ecosystems.md
ROCDOWN_THEMING_REPORT.md	3. What static-site generators do > 3.5 VitePress and Docusaurus: executable theme interfaces	retained for priority 2	knowledge/research/theme-ecosystems.md
ROCDOWN_THEMING_REPORT.md	3. What static-site generators do > 3.6 SSG comparison	retained for priority 2	knowledge/research/theme-ecosystems.md
ROCDOWN_THEMING_REPORT.md	5. Recommended Rocdown theme model > 5.1 Keep format, layout, theme, and code theme separate	migrated approved subset	knowledge/architecture/theming.md
ROCDOWN_THEMING_REPORT.md	5. Recommended Rocdown theme model > 5.2 Proposed document selection	migrated approved subset	knowledge/architecture/theming.md
ROCDOWN_THEMING_REPORT.md	5. Recommended Rocdown theme model > 5.3 Native theme package	migrated approved subset	knowledge/architecture/theming.md
ROCDOWN_THEMING_REPORT.md	5. Recommended Rocdown theme model > 5.4 Theme sources and resolution	migrated approved subset	knowledge/architecture/theming.md
ROCDOWN_THEMING_REPORT.md	5. Recommended Rocdown theme model > 5.5 Cascade contract	migrated approved subset	knowledge/architecture/theming.md
ROCDOWN_THEMING_REPORT.md	5. Recommended Rocdown theme model > 5.6 Scope contract	migrated approved subset	knowledge/architecture/theming.md
ROCDOWN_THEMING_REPORT.md	5. Recommended Rocdown theme model > 5.7 Design tokens	migrated approved subset	knowledge/architecture/theming.md
ROCDOWN_THEMING_REPORT.md	6. External theme adapters > 6.1 Adapter interface	retained for priority 2	knowledge/research/theme-ecosystems.md
ROCDOWN_THEMING_REPORT.md	6. External theme adapters > 6.2 Reveal adapter	retained for priority 2	knowledge/research/theme-ecosystems.md
ROCDOWN_THEMING_REPORT.md	6. External theme adapters > 6.3 Marp adapter	retained for priority 2	knowledge/research/theme-ecosystems.md
ROCDOWN_THEMING_REPORT.md	6. External theme adapters > 6.4 Slidev and SSG theme importers	retained for priority 2	knowledge/research/theme-ecosystems.md
ROCDOWN_THEMING_REPORT.md	7. Page and SSG artifact architecture > 7.1 Replace the content-only layout boundary	migrated current subset	knowledge/architecture/rocs-documentation-compiler.md; knowledge/architecture/theming.md
ROCDOWN_THEMING_REPORT.md	7. Page and SSG artifact architecture > 7.2 Asset pipeline	migrated current subset	knowledge/architecture/rocs-documentation-compiler.md; knowledge/architecture/theming.md
ROCDOWN_THEMING_REPORT.md	7. Page and SSG artifact architecture > 7.3 Project overrides and inheritance	migrated current subset	knowledge/architecture/rocs-documentation-compiler.md; knowledge/architecture/theming.md
ROCDOWN_THEMING_REPORT.md	7. Page and SSG artifact architecture > 7.4 Development behavior	migrated current subset	knowledge/architecture/rocs-documentation-compiler.md; knowledge/architecture/theming.md
ROCDOWN_THEMING_REPORT.md	8. Best practices Rocdown should enforce or encourage > 8.1 Predictable CSS	migrated summary	knowledge/architecture/theming.md
ROCDOWN_THEMING_REPORT.md	8. Best practices Rocdown should enforce or encourage > 8.2 Light, dark, and user preferences	migrated summary	knowledge/architecture/theming.md
ROCDOWN_THEMING_REPORT.md	8. Best practices Rocdown should enforce or encourage > 8.3 Accessibility and output modes	migrated summary	knowledge/architecture/theming.md
ROCDOWN_THEMING_REPORT.md	8. Best practices Rocdown should enforce or encourage > 8.4 Security and reproducibility	migrated summary	knowledge/architecture/theming.md
ROCDOWN_THEMING_REPORT.md	8. Best practices Rocdown should enforce or encourage > 8.5 Performance	migrated summary	knowledge/architecture/theming.md
ROCDOWN_THEMING_REPORT.md	9. Proposed implementation plan > Phase 0: freeze the contracts	not migrated	Superseded in part by current code and Phase 4 of OKF_PLAN.md.
ROCDOWN_THEMING_REPORT.md	9. Proposed implementation plan > Phase 1: native CSS themes	not migrated	Superseded in part by current code and Phase 4 of OKF_PLAN.md.
ROCDOWN_THEMING_REPORT.md	9. Proposed implementation plan > Phase 2: SSG asset pipeline	not migrated	Superseded in part by current code and Phase 4 of OKF_PLAN.md.
ROCDOWN_THEMING_REPORT.md	9. Proposed implementation plan > Phase 3: native layout packages and overrides	not migrated	Superseded in part by current code and Phase 4 of OKF_PLAN.md.
ROCDOWN_THEMING_REPORT.md	9. Proposed implementation plan > Phase 4: Reveal adapter	not migrated	Superseded in part by current code and Phase 4 of OKF_PLAN.md.
ROCDOWN_THEMING_REPORT.md	9. Proposed implementation plan > Phase 5: Marp adapter	not migrated	Superseded in part by current code and Phase 4 of OKF_PLAN.md.
ROCDOWN_THEMING_REPORT.md	9. Proposed implementation plan > Phase 6: migration tooling and gallery	not migrated	Superseded in part by current code and Phase 4 of OKF_PLAN.md.
ROCDOWN_THEMING_REPORT.md	10. Test strategy > Unit tests	retained for phase 4	DTCG and visual validation work has not started.
ROCDOWN_THEMING_REPORT.md	10. Test strategy > Golden tests	retained for phase 4	DTCG and visual validation work has not started.
ROCDOWN_THEMING_REPORT.md	10. Test strategy > Browser tests	retained for phase 4	DTCG and visual validation work has not started.
ROCDOWN_THEMING_REPORT.md	10. Test strategy > Upstream compatibility tests	retained for phase 4	DTCG and visual validation work has not started.
ROCDOWN_THEMING_REPORT.md	Primary references > Presentation systems	not migrated	Bibliography remains attached to the retained report.
ROCDOWN_THEMING_REPORT.md	Primary references > Static-site generators	not migrated	Bibliography remains attached to the retained report.
ROCDOWN_THEMING_REPORT.md	Primary references > Web platform	not migrated	Bibliography remains attached to the retained report.
